 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
604,ER.ATL2.png,1,2.828,1.000,1.414,393,157,135.000,1.000,1.000,1.000,1.000
605,ER.ATL2.png,1,2.828,1.000,1.414,414,157,135.000,1.000,1.000,1.000,1.000
606,ER.ATL2.png,2,4.828,1.000,2.236,131,158,116.565,1.000,2.000,0.500,1.000
607,ER.ATL2.png,1,2.828,1.000,1.414,274,158,135.000,1.000,1.000,1.000,1.000
608,ER.ATL2.png,1,2.828,1.000,1.414,462,158,135.000,1.000,1.000,1.000,1.000
609,ER.ATL2.png,2,4.243,1.000,2.236,471,158,153.435,1.000,2.000,0.500,1.000
610,ER.ATL2.png,2,4.243,1.000,2.236,520,158,153.435,1.000,2.000,0.500,1.000
611,ER.ATL2.png,1,2.828,1.000,1.414,198,159,135.000,1.000,1.000,1.000,1.000
612,ER.ATL2.png,1,2.828,1.000,1.414,396,160,135.000,1.000,1.000,1.000,1.000
613,ER.ATL2.png,1,2.828,1.000,1.414,466,160,135.000,1.000,1.000,1.000,1.000
614,ER.ATL2.png,35,37.698,0.309,11.705,475,161,160.017,6.576,1.896,0.528,0.648
615,ER.ATL2.png,1,2.828,1.000,1.414,398,161,135.000,1.000,1.000,1.000,1.000
616,ER.ATL2.png,6,11.899,0.532,5.657,458,165,45.000,2.121,3.344,0.299,0.632
617,ER.ATL2.png,20,31.213,0.258,9.849,387,162,113.962,5.270,2.052,0.487,0.556
618,ER.ATL2.png,1,2.828,1.000,1.414,400,162,135.000,1.000,1.000,1.000,1.000
619,ER.ATL2.png,1,2.828,1.000,1.414,464,162,135.000,1.000,1.000,1.000,1.000
620,ER.ATL2.png,30,23.213,0.700,8.246,83,163,104.036,6.000,1.252,0.799,0.769
621,ER.ATL2.png,4,7.071,1.000,3.606,115,165,33.690,2.000,2.031,0.492,0.800
622,ER.ATL2.png,1,2.828,1.000,1.414,196,163,135.000,1.000,1.000,1.000,1.000
623,ER.ATL2.png,1,2.828,1.000,1.414,205,163,135.000,1.000,1.000,1.000,1.000
624,ER.ATL2.png,1,2.828,1.000,1.414,381,163,135.000,1.000,1.000,1.000,1.000
625,ER.ATL2.png,1,2.828,1.000,1.414,414,163,135.000,1.000,1.000,1.000,1.000
626,ER.ATL2.png,1,2.828,1.000,1.414,398,164,135.000,1.000,1.000,1.000,1.000
627,ER.ATL2.png,1,2.828,1.000,1.414,469,164,135.000,1.000,1.000,1.000,1.000
628,ER.ATL2.png,1,2.828,1.000,1.414,471,164,135.000,1.000,1.000,1.000,1.000
629,ER.ATL2.png,27,34.284,0.289,10.296,503,170,29.055,6.102,1.691,0.591,0.607
630,ER.ATL2.png,1,2.828,1.000,1.414,103,165,135.000,1.000,1.000,1.000,1.000
631,ER.ATL2.png,5,8.485,0.873,4.243,202,168,45.000,2.121,2.308,0.433,0.769
632,ER.ATL2.png,3,6.243,0.967,3.162,108,166,161.565,1.000,3.000,0.333,1.000
633,ER.ATL2.png,1,2.828,1.000,1.414,419,166,135.000,1.000,1.000,1.000,1.000
634,ER.ATL2.png,1,2.828,1.000,1.414,457,166,135.000,1.000,1.000,1.000,1.000
635,ER.ATL2.png,2,5.657,0.785,2.828,470,166,135.000,1.414,2.646,0.378,0.667
636,ER.ATL2.png,2,4.828,1.000,2.236,499,167,116.565,1.000,2.000,0.500,1.000
637,ER.ATL2.png,1,2.828,1.000,1.414,501,167,135.000,1.000,1.000,1.000,1.000
638,ER.ATL2.png,1,2.828,1.000,1.414,110,168,135.000,1.000,1.000,1.000,1.000
639,ER.ATL2.png,1,2.828,1.000,1.414,384,168,135.000,1.000,1.000,1.000,1.000
640,ER.ATL2.png,1,2.828,1.000,1.414,394,168,135.000,1.000,1.000,1.000,1.000
641,ER.ATL2.png,1,2.828,1.000,1.414,485,168,135.000,1.000,1.000,1.000,1.000
642,ER.ATL2.png,1,2.828,1.000,1.414,89,169,135.000,1.000,1.000,1.000,1.000
643,ER.ATL2.png,2,5.657,0.785,2.828,386,169,135.000,1.414,2.646,0.378,0.667
644,ER.ATL2.png,1,2.828,1.000,1.414,417,169,135.000,1.000,1.000,1.000,1.000
645,ER.ATL2.png,144,77.983,0.298,22.472,77,171,122.276,12.075,2.295,0.436,0.718
646,ER.ATL2.png,4,9.899,0.513,4.123,111,171,165.964,2.000,2.293,0.436,0.615
647,ER.ATL2.png,1,2.828,1.000,1.414,200,170,135.000,1.000,1.000,1.000,1.000
648,ER.ATL2.png,1,2.828,1.000,1.414,333,170,135.000,1.000,1.000,1.000,1.000
649,ER.ATL2.png,3,5.657,1.000,2.828,393,170,135.000,2.000,1.464,0.683,0.857
650,ER.ATL2.png,1,2.828,1.000,1.414,109,171,135.000,1.000,1.000,1.000,1.000
651,ER.ATL2.png,2,4.828,1.000,2.236,510,171,116.565,1.000,2.000,0.500,1.000
652,ER.ATL2.png,70,35.456,0.700,12.530,70,183,61.390,9.459,1.301,0.769,0.809
653,ER.ATL2.png,2,4.828,1.000,2.236,507,172,116.565,1.000,2.000,0.500,1.000
654,ER.ATL2.png,1,2.828,1.000,1.414,112,173,135.000,1.000,1.000,1.000,1.000
655,ER.ATL2.png,1,2.828,1.000,1.414,493,173,135.000,1.000,1.000,1.000,1.000
656,ER.ATL2.png,23,38.770,0.192,10.440,513,179,16.699,7.000,1.654,0.605,0.460
657,ER.ATL2.png,271,113.782,0.263,31.890,45,198,48.814,15.556,1.974,0.507,0.732
658,ER.ATL2.png,3,8.485,0.524,4.243,510,177,45.000,1.414,4.123,0.243,0.600
659,ER.ATL2.png,1,2.828,1.000,1.414,87,175,135.000,1.000,1.000,1.000,1.000
660,ER.ATL2.png,1,2.828,1.000,1.414,101,177,135.000,1.000,1.000,1.000,1.000
661,ER.ATL2.png,1,2.828,1.000,1.414,109,177,135.000,1.000,1.000,1.000,1.000
662,ER.ATL2.png,95,53.012,0.425,17.263,75,181,100.008,10.213,1.865,0.536,0.699
663,ER.ATL2.png,1,2.828,1.000,1.414,517,181,135.000,1.000,1.000,1.000,1.000
664,ER.ATL2.png,27,21.314,0.747,9.434,65,182,122.005,4.608,2.245,0.446,0.857
